MODEL.01
Isotropic model 
ISOTROPIC 
KGS 
FLAT EARTH 
1-D 
CONSTANT VELOCITY 
LINE08
LINE09
LINE10
LINE11
H(KM) VP(KM/S)  VS(KM/S) RHO(GM/CC)  QP    QS   ETAP   ETAS   FREFP  FREFS
  0.50   8.27   4.62   3.45  1600   600  0  0 1.0 1.0
  0.50   8.27   4.62   3.45  1600   600  0  0 1.0 1.0
  0.50   8.27   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.28   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.28   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.28   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.29   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.29   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.29   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.29   4.63   3.45  1600   600  0  0 1.0 1.0
  0.50   8.29   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.30   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.30   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.30   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.30   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.30   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.31   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.31   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.31   4.64   3.45  1600   600  0  0 1.0 1.0
  0.50   8.31   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.31   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.31   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.33   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.50   8.32   4.65   3.45  1600   600  0  0 1.0 1.0
  0.00   8.31   4.65   3.45  1600   600  0  0 1.0 1.0
